id,formula,description
30_AgHg2PO4,Ag 1 Hg 2 P 1 O 4,"Ag 1 Hg 2 P 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of p, LUMO element of P, LUMO energy of -21, gap AO of 93."
31_AgHg3SbO6,Ag 1 Hg 3 Sb 1 O 6,"Ag 1 Hg 3 Sb 1 O 6 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
32_AgHgAsS3,Ag 1 Hg 1 As 1 S 3,"Ag 1 Hg 1 As 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of s, LUMO element of Hg, LUMO energy of -21, gap AO of 57."
33_AgNO3,Ag 1 N 1 O 3,"Ag 1 N 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
34_AgPO3,Ag 1 P 1 O 3,"Ag 1 P 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
35_AgTeO3,Ag 1 Te 1 O 3,"Ag 1 Te 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
36_Al2(PS3)3,Al 2 P 3 S 9,"Al 2 P 3 S 9 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
37_Al2(SO4)3,Al 2 S 3 O 12,"Al 2 S 3 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
38_Al2BiS4,Al 2 Bi 1 S 4,"Al 2 Bi 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
39_Al2BiSe4,Al 2 Bi 1 Se 4,"Al 2 Bi 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
40_Al2CdS4,Al 2 Cd 1 S 4,"Al 2 Cd 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
41_Al2CdSe4,Al 2 Cd 1 Se 4,"Al 2 Cd 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
42_Al2HgS4,Al 2 Hg 1 S 4,"Al 2 Hg 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
43_Al2HgSe4,Al 2 Hg 1 Se 4,"Al 2 Hg 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
44_Al2O3,Al 2 O 3,"Al 2 O 3 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Al, LUMO energy of -29, gap AO of 51."
45_Al2PbS4,Al 2 Pb 1 S 4,"Al 2 Pb 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
46_Al2PbSe4,Al 2 Pb 1 Se 4,"Al 2 Pb 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
47_Al2SiO5,Al 2 Si 1 O 5,"Al 2 Si 1 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
48_Al2ZnO4,Al 2 Zn 1 O 4,"Al 2 Zn 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Al, LUMO energy of -29, gap AO of 51."
49_Al2ZnSe4,Al 2 Zn 1 Se 4,"Al 2 Zn 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
50_Al3NO3,Al 3 N 1 O 3,"Al 3 N 1 O 3 has HOMO character of s, HOMO element of Al, HOMO energy of -29, LUMO character of p, LUMO element of N, LUMO energy of -27, gap AO of 21."
51_Al4(B2O5)3,Al 4 B 6 O 15,"Al 4 B 6 O 15 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
52_Al4Bi2O9,Al 4 Bi 2 O 9,"Al 4 Bi 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Al, LUMO energy of -29, gap AO of 51."
53_AlAg(PSe3)2,Al 1 Ag 1 P 2 Se 6,"Al 1 Ag 1 P 2 Se 6 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
54_AlAgSe2,Al 1 Ag 1 Se 2,"Al 1 Ag 1 Se 2 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
55_AlBO3,Al 1 B 1 O 3,"Al 1 B 1 O 3 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
56_AlBPbO4,Al 1 B 1 Pb 1 O 4,"Al 1 B 1 Pb 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
57_AlCuO2,Al 1 Cu 1 O 2,"Al 1 Cu 1 O 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of d, LUMO element of Cu, LUMO energy of -20."
58_AlCuS2,Al 1 Cu 1 S 2,"Al 1 Cu 1 S 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of d, LUMO element of Cu, LUMO energy of -20."
59_AlCuSe2,Al 1 Cu 1 Se 2,"Al 1 Cu 1 Se 2 has HOMO character of d, HOMO element of Cu, HOMO energy of -20, LUMO character of d, LUMO element of Cu, LUMO energy of -20."
60_AlPO4,Al 1 P 1 O 4,"Al 1 P 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
61_AlSbO4,Al 1 Sb 1 O 4,"Al 1 Sb 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
62_AlTl(MoO4)2,Al 1 Tl 1 Mo 2 O 8,"Al 1 Tl 1 Mo 2 O 8 has HOMO character of s, HOMO element of Al, HOMO energy of -29, LUMO character of s, LUMO element of Tl, LUMO energy of -29, gap AO of 2."
63_AlTlS2,Al 1 Tl 1 S 2,"Al 1 Tl 1 S 2 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
64_AlTlSe2,Al 1 Tl 1 Se 2,"Al 1 Tl 1 Se 2 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
65_AlTlSi3O8,Al 1 Tl 1 Si 3 O 8,"Al 1 Tl 1 Si 3 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
