id,formula,description
131_Ba2SnS4,Ba 2 Sn 1 S 4,"Ba 2 Sn 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
132_Ba2SnSe4,Ba 2 Sn 1 Se 4,"Ba 2 Sn 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
133_Ba2SrTeO6,Ba 2 Sr 1 Te 1 O 6,"Ba 2 Sr 1 Te 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
134_Ba2SrWO6,Ba 2 Sr 1 W 1 O 6,"Ba 2 Sr 1 W 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 118."
135_Ba2TaBiO6,Ba 2 Ta 1 Bi 1 O 6,"Ba 2 Ta 1 Bi 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
136_Ba2TeO,Ba 2 Te 1 O 1,"Ba 2 Te 1 O 1 has HOMO character of p, HOMO element of Te, HOMO energy of -23, LUMO character of s, LUMO element of Ba, LUMO energy of -12, gap AO of 108."
137_Ba2TeP2O9,Ba 2 Te 1 P 2 O 9,"Ba 2 Te 1 P 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
138_Ba2Tl2O5,Ba 2 Tl 2 O 5,"Ba 2 Tl 2 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Tl, LUMO energy of -29, gap AO of 53."
139_Ba2V2Te2O11,Ba 2 V 2 Te 2 O 11,"Ba 2 V 2 Te 2 O 11 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of Te, LUMO energy of -23, gap AO of 112."
140_Ba2YGaSe5,Ba 2 Y 1 Ga 1 Se 5,"Ba 2 Y 1 Ga 1 Se 5 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
141_Ba2YTaO6,Ba 2 Y 1 Ta 1 O 6,"Ba 2 Y 1 Ta 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
142_Ba2Zn3(AsO)2,Ba 2 Zn 3 As 2 O 2,"Ba 2 Zn 3 As 2 O 2 has HOMO character of p, HOMO element of As, HOMO energy of -20, LUMO character of p, LUMO element of As, LUMO energy of -20."
143_Ba2ZnGe2O7,Ba 2 Zn 1 Ge 2 O 7,"Ba 2 Zn 1 Ge 2 O 7 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
144_Ba2ZnMoO6,Ba 2 Zn 1 Mo 1 O 6,"Ba 2 Zn 1 Mo 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 116."
145_Ba2ZnO3,Ba 2 Zn 1 O 3,"Ba 2 Zn 1 O 3 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 116."
146_Ba2ZnS3,Ba 2 Zn 1 S 3,"Ba 2 Zn 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 39."
147_Ba2ZnSi2O7,Ba 2 Zn 1 Si 2 O 7,"Ba 2 Zn 1 Si 2 O 7 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
148_Ba2ZnTeO6,Ba 2 Zn 1 Te 1 O 6,"Ba 2 Zn 1 Te 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
149_Ba2ZnWO6,Ba 2 Zn 1 W 1 O 6,"Ba 2 Zn 1 W 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 116."
150_Ba2ZrO4,Ba 2 Zr 1 O 4,"Ba 2 Zr 1 O 4 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Zr, LUMO energy of -16, gap AO of 176."
151_Ba2ZrSnO6,Ba 2 Zr 1 Sn 1 O 6,"Ba 2 Zr 1 Sn 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
152_Ba2ZrTiO6,Ba 2 Zr 1 Ti 1 O 6,"Ba 2 Zr 1 Ti 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ti, LUMO energy of -17, gap AO of 168."
153_Ba3(AsO4)2,Ba 3 As 2 O 8,"Ba 3 As 2 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
154_Ba3(BO3)2,Ba 3 B 2 O 6,"Ba 3 B 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
155_Ba3(GaS3)2,Ba 3 Ga 2 S 6,"Ba 3 Ga 2 S 6 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
156_Ba3(PO4)2,Ba 3 P 2 O 8,"Ba 3 P 2 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
157_Ba3(SbO3)2,Ba 3 Sb 2 O 6,"Ba 3 Sb 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of Sb, LUMO energy of -19, gap AO of 153."
158_Ba3(TaS4)2,Ba 3 Ta 2 S 8,"Ba 3 Ta 2 S 8 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 79."
159_Ba3Bi2TeO9,Ba 3 Bi 2 Te 1 O 9,"Ba 3 Bi 2 Te 1 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
160_Ba3CaTa2O9,Ba 3 Ca 1 Ta 2 O 9,"Ba 3 Ca 1 Ta 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
161_Ba3Ga4O9,Ba 3 Ga 4 O 9,"Ba 3 Ga 4 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Ga, LUMO energy of -33, gap AO of 10."
162_Ba3Ge2(B3O8)2,Ba 3 Ge 2 B 6 O 16,"Ba 3 Ge 2 B 6 O 16 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
163_Ba3GeO5,Ba 3 Ge 1 O 5,"Ba 3 Ge 1 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
164_Ba3GeS5,Ba 3 Ge 1 S 5,"Ba 3 Ge 1 S 5 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
165_Ba3In2O6,Ba 3 In 2 O 6,"Ba 3 In 2 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of In, LUMO energy of -29, gap AO of 48."
166_Ba3MgSb2O9,Ba 3 Mg 1 Sb 2 O 9,"Ba 3 Mg 1 Sb 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
167_Ba3MgTa2O9,Ba 3 Mg 1 Ta 2 O 9,"Ba 3 Mg 1 Ta 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
168_Ba3MgTaNbO9,Ba 3 Mg 1 Ta 1 Nb 1 O 9,"Ba 3 Mg 1 Ta 1 Nb 1 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
169_Ba3NaBiO6,Ba 3 Na 1 Bi 1 O 6,"Ba 3 Na 1 Bi 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
170_Ba3NaNbO6,Ba 3 Na 1 Nb 1 O 6,"Ba 3 Na 1 Nb 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Nb, LUMO energy of -14, gap AO of 194."
171_Ba3NaSbO6,Ba 3 Na 1 Sb 1 O 6,"Ba 3 Na 1 Sb 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
172_Ba3NaTaO6,Ba 3 Na 1 Ta 1 O 6,"Ba 3 Na 1 Ta 1 O 6 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of Ta, LUMO energy of -18, gap AO of 156."
173_Ba3Nb2(P2O9)2,Ba 3 Nb 2 P 4 O 18,"Ba 3 Nb 2 P 4 O 18 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
174_Ba3Nb2ZnO9,Ba 3 Nb 2 Zn 1 O 9,"Ba 3 Nb 2 Zn 1 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 116."
175_Ba3P4O13,Ba 3 P 4 O 13,"Ba 3 P 4 O 13 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
176_Ba3P6(N4O3)2,Ba 3 P 6 N 8 O 6,"Ba 3 P 6 N 8 O 6 has HOMO character of p, HOMO element of N, HOMO energy of -27, LUMO character of p, LUMO element of N, LUMO energy of -27."
177_Ba3Sb2O,Ba 3 Sb 2 O 1,"Ba 3 Sb 2 O 1 has HOMO character of p, HOMO element of Sb, HOMO energy of -19, LUMO character of p, LUMO element of Sb, LUMO energy of -19."
178_Ba3Si2(B3O8)2,Ba 3 Si 2 B 6 O 16,"Ba 3 Si 2 B 6 O 16 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
179_Ba3Si6(NO6)2,Ba 3 Si 6 N 2 O 12,"Ba 3 Si 6 N 2 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of N, LUMO energy of -27, gap AO of 72."
180_Ba3SiO5,Ba 3 Si 1 O 5,"Ba 3 Si 1 O 5 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
181_Ba3SrMg2(TeO6)2,Ba 3 Sr 1 Mg 2 Te 2 O 12,"Ba 3 Sr 1 Mg 2 Te 2 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
182_Ba3SrSb2O9,Ba 3 Sr 1 Sb 2 O 9,"Ba 3 Sr 1 Sb 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
183_Ba3Ta6(Si2O13)2,Ba 3 Ta 6 Si 4 O 26,"Ba 3 Ta 6 Si 4 O 26 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
184_Ba3Te2O9,Ba 3 Te 2 O 9,"Ba 3 Te 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
185_Ba3Te4O11,Ba 3 Te 4 O 11,"Ba 3 Te 4 O 11 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of Te, LUMO energy of -23, gap AO of 112."
186_Ba3V2O8,Ba 3 V 2 O 8,"Ba 3 V 2 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of V, LUMO energy of -20, gap AO of 134."
187_Ba3V4O13,Ba 3 V 4 O 13,"Ba 3 V 4 O 13 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of V, LUMO energy of -20, gap AO of 134."
188_Ba3W2O9,Ba 3 W 2 O 9,"Ba 3 W 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 118."
189_Ba3Zn6Si4TeO20,Ba 3 Zn 6 Si 4 Te 1 O 20,"Ba 3 Zn 6 Si 4 Te 1 O 20 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
190_Ba3ZnN2O,Ba 3 Zn 1 N 2 O 1,"Ba 3 Zn 1 N 2 O 1 has HOMO character of p, HOMO element of N, HOMO energy of -27, LUMO character of s, LUMO element of Zn, LUMO energy of -22, gap AO of 44."
191_Ba3ZnSb2O9,Ba 3 Zn 1 Sb 2 O 9,"Ba 3 Zn 1 Sb 2 O 9 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
192_Ba4B2N4O,Ba 4 B 2 N 4 O 1,"Ba 4 B 2 N 4 O 1 has HOMO character of p, HOMO element of N, HOMO energy of -27, LUMO character of p, LUMO element of N, LUMO energy of -27."
193_Ba4Bi2O,Ba 4 Bi 2 O 1,"Ba 4 Bi 2 O 1 has HOMO character of p, HOMO element of Bi, HOMO energy of -18, LUMO character of s, LUMO element of Ba, LUMO energy of -12, gap AO of 61."
194_Ba4In2Te2S5,Ba 4 In 2 Te 2 S 5,"Ba 4 In 2 Te 2 S 5 has HOMO character of p, HOMO element of Te, HOMO energy of -23, LUMO character of p, LUMO element of Te, LUMO energy of -23."
195_Ba4In2Te2Se5,Ba 4 In 2 Te 2 Se 5,"Ba 4 In 2 Te 2 Se 5 has HOMO character of p, HOMO element of Te, HOMO energy of -23, LUMO character of p, LUMO element of Te, LUMO energy of -23."
196_Ba4InSbO8,Ba 4 In 1 Sb 1 O 8,"Ba 4 In 1 Sb 1 O 8 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
197_Ba4Li(SbO4)3,Ba 4 Li 1 Sb 3 O 12,"Ba 4 Li 1 Sb 3 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
198_Ba4Na(SbO4)3,Ba 4 Na 1 Sb 3 O 12,"Ba 4 Na 1 Sb 3 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of p, LUMO element of O, LUMO energy of -34."
199_Ba4Nb2WO12,Ba 4 Nb 2 W 1 O 12,"Ba 4 Nb 2 W 1 O 12 has HOMO character of p, HOMO element of O, HOMO energy of -34, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 118."
